SMILES	Unsupported_Elements
CC1(C)C2CC3OB(C(CCCC(S)=NN)NC(=O)C4CCCN4C(=O)C(Cc4ccccc4)NC(=O)OCc4ccccc4)OC3(C)C1C2	B
CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)B(O)O	B
N=C(N)c1ccc2[nH]c(-c3cc(CCOP(=O)(O)O)cc(Br)c3O)c(Cc3ccccc3)c2c1	P
CCCCCC(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)B1OC2CC3CC(C3(C)C)C2(C)O1	B
N=C(N)c1ccc2[nH]cc(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3I)c2c1	I
CN(CC(=O)NC(CCCCN)B(O)O)C(=O)c1ccccc1Sc1ccccc1C#N	B
CC1(C)C2CC3OB(C(Cc4ccccc4)NC(=O)C4CCCN4C(=O)C(Cc4ccccc4)NC(=O)OCc4ccccc4)OC3(C)C1C2	B
CCC(C)(C)C(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)B1OC2CC3CC(C3(C)C)C2(C)O1	B
COCCCC(NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)B1OC2CC3CC(C3(C)C)C2(C)O1	B
CC1(C)C2CC3OB(C(Cc4ccccc4)NC(=O)C4CCCN4C(=O)C(NC(=O)OCc4ccccc4)C(c4ccccc4)c4ccccc4)OC3(C)C1C2	B
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(I)cc2)CC1	I
COCCCC(NC(=O)C1CCCN1C(=O)C(NC(=O)OCc1ccccc1)C(c1ccccc1)c1ccccc1)B1OC2CC3CC(C3(C)C)C2(C)O1	B
